You are now connected to database "spots" as user "paulosghirmai".
             website              | webcount 
 francomanca.co.uk                |       14
 jakswaltonstreet.com             |        2
 thebotanist.uk.com               |        3
 ippudo.co.uk                     |        4
 softservesociety.com             |        2
 purezza.co.uk                    |        2
 hyattrestaurants.com             |        3
 vagabondwines.co.uk              |        3
 gordonramsay.com                 |        4
 kervan-sofrasi.co.uk             |        2
 noblerot.co.uk                   |        2
 omninorestaurants.com            |        2
 easthotels.com                   |        2
 in-n-out.com                     |        2
 indpt.com                        |        2
 flaxandkale.com                  |        2
 barazita.co.uk                   |        2
 thehoxton.com                    |       10
 youngs.co.uk                     |        2
 wingit.ie                        |        2
 fs-restaurants.co.uk             |        3
 ayllu.co.uk                      |        2
 hacheburgers.com                 |        8
 burgerandbeyond.co.uk            |        2
 better.org.uk                    |        2
 restaurants.fiveguys.co.uk       |        9
 themarinamindarie.com            |        2
 burgerking.co.uk                 |        2
 merivale.com                     |        3
 daisygreenfood.com               |        8
 restoransofra.com                |        2
 honeyandco.co.uk                 |        2
 carissasthebakery.com            |        2
 costa.co.uk                      |        3
 mburgerchicago.com               |        2
 gipsyhillbrew.com                |        2
 frontierpubs.co.uk               |        2
 gasolinegrill.com                |        4
 caffeconcerto.co.uk              |        4
 cevichefamily.com                |        5
 nandos.co.uk                     |        7
 woktowalk.com                    |        2
 melangerestaurant.co.uk          |        2
 thespreadeaglelondon.co.uk       |        2
 gokyuzurestaurant.co.uk          |        2
 brickwoodlondon.com              |        2
 forarestaurants.co.uk            |        2
 bocconcinorestaurant.co.uk       |        2
 bananatree.co.uk                 |        3
 markethalls.co.uk                |        6
 breadahead.com                   |        4
 marriott.com                     |       13
 thecoconut-tree.com              |        3
 wearethepavilion.com             |        3
 bills-website.co.uk              |        8
 tantrumdoughnuts.com             |        2
 lpmrestaurants.com               |        3
 dukesgrocery.com                 |        2
 noburestaurants.com              |        7
 bigmammagroup.com                |        4
 melisi.co.uk                     |        2
 pieminister.co.uk                |        3
 limewoodhotel.co.uk              |        2
 craft-pubs.co.uk                 |        7
 kerbfood.com                     |        3
 elguaca.co.uk                    |        2
